id,year,date_apx,start_date,end_date,date_type,country,city,type,life_stage,tooltip,companion,latitude,longitude,days
1,1991-2008,24 April 1991- 24 August 2008,1991-04-24,2008-08-24,exact,Russia,Kazan,home,childhood,"The place where I was born and spent about half of my life. It is the place I return to when I want to feel where I come from.",with family,55.78874,49.12214,5287
2,2008-2014,25 August 2008–20 July 2014,2008-08-25,2014-07-20,exact,Russia,Saint-Petersburg,home,student,"My first move away from the place where I was born, away from my roots and my family. At 17, I was completely alone and felt incredibly sad. For the first month, I did little but cry. Yet for the rest of the days, months and years I spent in Saint Petersburg, I was happy. Now, 18 years later, I see this move as one of the best decisions of my life.",alone,59.93428,30.3351,1601
3,2014-2015,1 November 2014 - 1 April 2015,2014-11-01,2015-04-01,exact,Russia,Moscow,home,student,"The start of my PhD programme, and the reason I had to move to Moscow. Too much movement, speed and noise. After the quietness of smaller cities, Moscow felt overwhelming.",alone,55.7558,37.6173,151
4,2015-2016,1 April 2015-19 November 2016,2015-04-01,2016-11-19,exact,Russia,Saint-Petersburg,home,early career,"I moved back to Saint Petersburg, where I felt a sense of belonging that I had never really found in Moscow. I learned that the environment around you shapes your life more than you realise. It is easier to build a life when the place itself feels right.",alone,59.93428,30.3351,547
5,2016-2024,19 November 2016 - 15 May 2024,2016-11-19,2024-05-15,exact,Switzerland,Geneva,home,international career,"A new chapter of my life, bringing an experience I could hardly have imagined: learning to live and work in an international community. Somewhere along the way, I started to feel less like someone from a city written in a passport and more like someone from planet Earth.",alone,46.2044,6.1432,2414
6,2024-2025,16 May 2024-1 November 2025,2024-05-16,2025-11-01,exact,Spain,Gran Canaria,home,transition,"Another chapter in my life. It was shorter than I had planned and very different from what I had imagined, as it coincided with one of the most challenging periods of my personal life. Yet it taught me that sometimes it is worth closing a book when you no longer like the story.",with family,27.9667,-15.6,422
7,2025-2026,2 November 2025 - 15 October 2026,2025-11-02,2026-10-15,exact,France,Frejus,home,family,"A period of trial and error in trying to integrate into French life. In the end, I had to accept that my own views can change tooб and find a new way forward.",with family,43.433,6.737,206
8,1991-2008,repeated visits,1991-01-01,2008-12-31,year,Russia,Labyshka,leisure,childhood,"I spent every summer here with my grandmother, while my parents usually came only for the weekends. For a child, the Volga and our family summer house felt like the whole world.",with family,55.46204,49.0232,1120
9,1995-2006,repeated visits,1995-01-01,2006-12-31,year,Russia,Bely Yar,leisure,childhood,"A place where part of my family comes from. We visited several times throughout my childhood and later life. I associate it less with a particular event than with the feeling of being somewhere that existed in my family long before I did.",with family,53.97997,48.90005,60
10,2004-2007,repeated visits,2004-01-01,2007-12-31,year,Russia,Verkhny Uslon,leisure,childhood,"A children’s summer camp focused on mathematics and IT. Not much learning came from it, but many unforgettable emotions did. It was one of the first places where being away from home alone felt exciting rather than frightening.",with family,55.76855,48.98292,120
11,2008,30 June–6 July,2008-06-30,2008-07-06,exact,Russia,Saint-Petersburg,purpose,childhood,"A trip to Saint Petersburg with my sister to apply to Saint Petersburg State University and see the city. Yes, back then, it was impossible to apply online. It was my first time travelling so far from the region where I was born. I was overwhelmed by the scale and beauty of the city, and immediately knew that I wanted to live there.",with family,59.93428,30.3351,6
12,2008,5–16 August,2008-08-05,2008-08-16,exact,Russia,Lermontovo,leisure,student,"My first vacation by the sea, and the first time I ever swam in the sea. I travelled there with my mom by train. It took us two days to get there from Kazan. At the time, the journey itself felt like part of the adventure.",with family,44.30411,38.74989,11
13,2009,16–29 July,2009-07-16,2009-07-29,exact,Abkhazia,Gudauta,leisure,student,"The first time I got badly sunburned and stayed up raving at night. I remember the amazing nature, kind people and grapefruits. The first fresh figs I ever ate, picked straight from a tree. But I also remember a cannon left by the side of the road, almost exactly where it had been left during the civil war of 1992-93. That contrast between everyday beauty and the traces of conflict stayed with me.",with family,43.10199,40.6248,13
